"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DataQualityRuleDefinition","DataQualityRuleDefinition","","","",0,*,"","","","null {[]} {[]}
","Resource: Data Quality Rule Definition","A rule ensuring data adherence to expected norms and standards.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DataQualityRuleDefinition.identifier","DataQualityRuleDefinition.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.identifier",0,*,"",""
"DataQualityRuleDefinition.description","DataQualityRuleDefinition.description","","","",1,1,"","","","string {[]} {[]}
","Description of Rule","Logical description of Rule","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.description",1,1,"",""
"DataQualityRuleDefinition.name","DataQualityRuleDefinition.name","","","",1,1,"","","","string {[]} {[]}
","Name of Rule","Name of Rule","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.name",1,1,"",""
"DataQualityRuleDefinition.period","DataQualityRuleDefinition.period","","","",0,1,"","","","Period {[]} {[]}
","period of effectiveness of this rule","period of effectiveness of this rule","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.period",0,1,"",""
"DataQualityRuleDefinition.related","DataQualityRuleDefinition.related","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://NCQA.org/fhir/example/StructureDefinition/DataQualityRuleDefinition]]}
","Releated rules.","Releated rules.","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.related",0,*,"",""
"DataQualityRuleDefinition.lastUpdated","DataQualityRuleDefinition.lastUpdated","","","",0,1,"","","","dateTime {[]} {[]}
","Last date the rule was updated.","Last date the rule was updated.","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.lastUpdated",0,1,"",""
"DataQualityRuleDefinition.version","DataQualityRuleDefinition.version","","","",0,1,"","","","string {[]} {[]}
","Version of this rule instance","Version of this rule instance","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.version",0,1,"",""
"DataQualityRuleDefinition.exception","DataQualityRuleDefinition.exception","","","",0,*,"","","","Expression {[]} {[]}
","Exceptions to this rule and the expression to be used.","Exceptions to this rule and the expression to be used.","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.exception",0,*,"",""
"DataQualityRuleDefinition.examples","DataQualityRuleDefinition.examples","","","",0,*,"","","","string {[]} {[]}
","example of rule","example of rule","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.examples",0,*,"",""
"DataQualityRuleDefinition.configuration","DataQualityRuleDefinition.configuration","","","",1,1,"","","","BackboneElement {[]} {[]}
","Configuration of the rule (Level, context, category, sub-category)","Configuration of the rule (Level, context, category, sub-category)","","","","","","","","","",,,,,"",,,,"DataQualityRuleDefinition.configuration",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataQualityRuleDefinition.configuration.id","DataQualityRuleDefinition.configuration.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"DataQualityRuleDefinition.configuration.extension","DataQualityRuleDefinition.configuration.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
